Sp_acronym;S0700;S0850;S1050;S1200;S1400;S1450;S1650;S1850;S1900;S1950;S2150;S2350;S2400
Drac_dao;2;0;0;0;0;0;0;0;0;0;0;0;0
Koor_pinn;1;0;0;0;0;0;0;0;0;0;0;0;0
Mang_foet;2;1;0;0;0;0;0;0;0;0;0;0;0
Seme_fors;0;0;0;2;0;0;0;0;0;0;0;0;0
Alph_java;0;0;0;1;0;0;0;0;0;0;0;0;0
Cana_odor;0;0;0;1;0;0;0;0;0;0;0;0;0
Drep_king;1;0;1;0;0;0;0;0;0;0;0;0;0
Goni_spnov;0;0;1;0;0;0;0;0;0;0;0;0;0
Mitr_macr;0;0;0;2;0;1;0;0;0;0;0;0;0
Phae_opht;0;0;0;0;0;1;0;0;0;0;0;0;0
Popo_piso;0;0;1;0;0;0;0;0;0;0;0;0;0
Alst_spec;0;0;0;0;0;1;0;0;0;0;0;0;0
Tabe_spha;0;0;0;0;0;1;0;2;0;0;0;0;0
Ilex_spnov;0;0;0;0;0;0;0;0;0;0;2;2;0
Ilex_cele;0;0;0;0;0;4;0;0;0;0;0;0;0
Ilex_odor;0;0;0;0;0;0;0;0;0;0;0;0;1
Poly_dive;0;0;0;4;0;1;0;0;0;0;0;0;0
Poly_nodo;0;0;0;2;0;0;0;0;0;0;0;0;0
Agat_damm;0;0;0;0;0;0;0;0;0;2;0;0;0
Arec_spnov;0;0;0;0;0;0;0;0;0;0;49;2;0
Cary_rump;0;0;0;1;0;0;0;0;0;0;0;0;0
Onco_horr;1;3;0;0;0;0;0;0;0;0;0;0;0
Pina_caes;0;0;1;0;0;1;0;0;0;0;0;0;0
Drac_angu;1;0;0;4;0;0;0;0;0;0;0;0;0
Drac_born;0;0;3;5;0;0;0;0;0;0;0;0;0
Stro_arbo;2;0;1;0;2;0;1;0;2;0;0;0;0
Cana_bals;2;0;0;6;0;1;0;0;0;0;0;0;0
Cana_hirs;0;0;0;3;0;0;0;0;0;0;0;0;0
Sant_apic;7;17;6;0;7;0;0;0;0;0;0;0;0
Calo_soul;0;0;1;5;0;5;9;0;0;0;0;0;0
Calo_spnov;0;0;0;0;2;0;0;0;0;0;0;0;0
Calo_sp;1;0;0;0;0;0;0;0;0;0;0;0;0
Celt_rubr;0;0;0;4;0;0;0;0;0;0;0;0;0
Giro_suba;3;15;0;0;0;0;0;0;0;0;0;0;0
Trem_orie;0;0;0;1;0;0;0;0;0;0;0;0;0
Citr_suav;0;0;0;0;0;0;0;0;0;2;0;0;0
Loph_java;0;0;0;0;0;2;0;0;0;0;0;0;0
Asca_phil;0;0;0;0;0;0;0;0;0;0;0;0;4
Mara_cory;1;0;0;0;0;0;0;0;0;0;0;0;0
Clet_cane;0;0;0;0;0;0;0;0;0;0;0;0;7
Garc_cele;0;0;1;0;0;0;0;0;0;0;0;0;0
Garc_long;0;0;0;0;0;1;0;0;0;0;0;0;0
Garc_malu;0;0;0;5;0;0;0;0;0;0;0;0;0
Garc_sp;0;0;0;0;0;1;0;0;0;0;0;0;0
Mast_rost;1;0;0;0;0;0;0;0;0;0;0;0;0
Mast_pent;0;0;0;0;0;0;0;1;1;5;0;0;0
Mast_tric;0;0;0;0;0;0;2;0;0;0;0;0;0
Wein_frax;0;0;0;0;0;1;0;0;0;0;0;0;2
Wein_furf;0;0;0;0;0;0;0;0;0;0;12;0;0
Also_sacc;0;0;0;0;0;1;0;0;0;0;0;0;0
Also_roro;0;0;0;0;0;0;0;0;0;0;0;0;25
Spha_sara;0;0;0;0;0;0;0;0;1;1;0;0;0
Spha_trip;0;0;2;0;0;5;0;0;0;0;0;0;0
Dick_blum;0;0;0;0;0;0;0;0;0;0;3;1;2
Dios_macr;1;0;0;0;0;0;0;0;0;0;0;0;0
Dios_sp;0;0;0;3;0;0;0;0;0;0;0;0;0
Ehre_java;0;0;0;0;0;0;1;0;0;0;0;0;0
Elae_afha;0;0;0;0;0;0;0;0;0;0;0;8;1
Elae_angu;3;0;0;0;0;0;0;0;0;0;0;0;0
Elae_cele;0;0;0;1;0;0;0;0;0;0;0;0;0
Elae_mult;0;0;0;0;0;1;0;0;0;0;0;0;0
Elae_afoc;0;0;0;0;0;0;0;0;0;0;9;0;0
Elae_culm;0;0;0;0;7;0;0;0;0;0;0;0;0
Elae_doli;0;0;0;1;0;0;0;0;0;0;0;0;0
Elae_erdi;0;0;0;0;8;2;0;0;0;0;0;0;0
Elae_fird;0;0;0;0;0;0;0;0;0;0;2;3;1
Elae_macr;5;0;1;2;0;0;0;0;0;0;0;0;0
Elae_muss;0;0;0;0;0;2;0;0;0;0;0;0;0
Elae_octo;7;0;0;0;0;0;0;0;0;0;0;0;0
Elae_sp;0;0;0;0;0;0;0;0;0;1;0;0;0
Elae_steu;0;0;0;0;0;0;0;0;0;0;11;0;0
Elae_teys;0;0;0;0;0;0;0;0;0;0;0;0;3
Sloa_cele;0;0;0;0;0;7;0;0;0;0;0;0;0
Vacc_cune;0;0;0;0;0;0;0;0;0;1;3;1;1
Vacc_dubi;0;0;0;0;0;0;0;0;0;1;4;0;0
Poly_cele;0;0;0;0;0;0;18;7;5;0;0;0;3
Poly_inte;0;1;2;0;1;2;3;0;0;0;0;0;0
