"","HHCode","wave","pid","MatchingIssue","DataMissing","SpeciesName","Abundance","Invasive","regency","village","crop","hid"
"1","111,03",2012,NA,NA,NA,"Setaria spec.","13",0,NA,NA,NA,"3"
"2","111,03",2012,NA,NA,NA,"Melastoma malabathricum","17",0,NA,NA,NA,"3"
"3","111,03",2012,NA,NA,NA,"Clibadium surinamense","1",0,NA,NA,NA,"3"
"4","111,03",2012,NA,NA,NA,"Chromolaena odorata","43",0,NA,NA,NA,"3"
"5","111,03",2012,NA,NA,NA,"Calopogonium mucunoides","2",0,NA,NA,NA,"3"
"6","111,03",2012,NA,NA,NA,"Mikania micrantha","9",0,NA,NA,NA,"3"
"7","111,03",2012,NA,NA,NA,"Unident 13","6",0,NA,NA,NA,"3"
"8","111,03",2012,NA,NA,NA,"Axonopus compressus","408",0,NA,NA,NA,"3"
"9","111,03",2012,NA,NA,NA,"Paspalum conjugatum","21",0,NA,NA,NA,"3"
"10","111,03",2012,NA,NA,NA,"Macaranga gigantea","4",0,NA,NA,NA,"3"
"11","111,03",2012,NA,NA,NA,"local name: Liba","9",0,NA,NA,NA,"3"
"12","111,03",2012,NA,NA,NA,"Clidemia hirta","26",1,NA,NA,NA,"3"
"13","111,03",2012,NA,NA,NA,"Unident 14","6",0,NA,NA,NA,"3"
"14","111,03",2012,NA,NA,NA,"Asystasia gangetica","16",1,NA,NA,NA,"3"
"15","111,03",2012,NA,NA,NA,"Erigeron sumatrensis","2",0,NA,NA,NA,"3"
"16","111,03",2012,NA,NA,NA,"Bridelia insulana","1",0,NA,NA,NA,"3"
"17","111,03",2012,NA,NA,NA,"local name: Tehan","1",0,NA,NA,NA,"3"
"18","111,12",2012,NA,NA,NA,"Hevea brasiliensis","21",0,NA,NA,NA,"12"
"19","111,12",2012,NA,NA,NA,"Centotheca lappacea","135",0,NA,NA,NA,"12"
"20","111,12",2012,NA,NA,NA,"Clidemia hirta","170",1,NA,NA,NA,"12"
"21","111,12",2012,NA,NA,NA,"Melastoma malabathricum","20",0,NA,NA,NA,"12"
"22","111,12",2012,NA,NA,NA,"Axonopus compressus","100",0,NA,NA,NA,"12"
"23","111,12",2012,NA,NA,NA,"Dicranopteris linearis","17",1,NA,NA,NA,"12"
"24","111,12",2012,NA,NA,NA,"Taenitis blechnoides","4",0,NA,NA,NA,"12"
"25","111,12",2012,NA,NA,NA,"Macaranga triloba","2",0,NA,NA,NA,"12"
"26","111,13",2012,NA,NA,NA,"Setaria palmifolia","6",0,NA,NA,NA,"13"
"27","111,13",2012,NA,NA,NA,"Clidemia hirta","63",1,NA,NA,NA,"13"
"28","111,13",2012,NA,NA,NA,"Phyllanthus niruri","1",0,NA,NA,NA,"13"
"29","111,13",2012,NA,NA,NA,"Dioscorea filiformis","1",0,NA,NA,NA,"13"
"30","111,13",2012,NA,NA,NA,"Lygodium flexuosum","3",0,NA,NA,NA,"13"
"31","111,13",2012,NA,NA,NA,"Macaranga gigantea","2",0,NA,NA,NA,"13"
"32","111,13",2012,NA,NA,NA,"Pithecellobium jiringa","2",0,NA,NA,NA,"13"
"33","111,13",2012,NA,NA,NA,"Adenia macrophylla","2",0,NA,NA,NA,"13"
"34","111,13",2012,NA,NA,NA,"Unident 5","9",0,NA,NA,NA,"13"
"35","111,13",2012,NA,NA,NA,"Hevea brasiliensis","56",0,NA,NA,NA,"13"
"36","111,13",2012,NA,NA,NA,"Nephrolepis exaltata","67",0,NA,NA,NA,"13"
"37","111,15",2012,NA,NA,NA,"Pennisetum polystachion","13",0,NA,NA,NA,"15"
"38","111,15",2012,NA,NA,NA,"Hypserpa nitida","2",0,NA,NA,NA,"15"
"39","111,15",2012,NA,NA,NA,"Syzygium spec.","2",0,NA,NA,NA,"15"
"40","111,15",2012,NA,NA,NA,"Hevea brasiliensis","91",0,NA,NA,NA,"15"
"41","111,15",2012,NA,NA,NA,"Macaranga gigantea","6",0,NA,NA,NA,"15"
"42","111,15",2012,NA,NA,NA,"Tylophora spec.","4",0,NA,NA,NA,"15"
"43","111,15",2012,NA,NA,NA,"Lygodium salicifolium","28",0,NA,NA,NA,"15"
"44","111,15",2012,NA,NA,NA,"Nephrolepis exaltata","79",0,NA,NA,NA,"15"
"45","111,21",2012,NA,NA,NA,"local name: Gear like","1",0,NA,NA,NA,"21"
"46","111,21",2012,NA,NA,NA,"Panicum repens","18",0,NA,NA,NA,"21"
"47","111,21",2012,NA,NA,NA,"Melastoma malabathricum","123",0,NA,NA,NA,"21"
"48","111,21",2012,NA,NA,NA,"Lindernia sp. 1","3",0,NA,NA,NA,"21"
"49","111,21",2012,NA,NA,NA,"Paspalum conjugatum","50",0,NA,NA,NA,"21"
"50","111,21",2012,NA,NA,NA,"Clidemia hirta","695",1,NA,NA,NA,"21"
"51","111,21",2012,NA,NA,NA,"Echinochloa colonum","3",0,NA,NA,NA,"21"
"52","111,21",2012,NA,NA,NA,"Elaeis guineensis","6",0,NA,NA,NA,"21"
"53","111,21",2012,NA,NA,NA,"Lygodium salicifolium","1",0,NA,NA,NA,"21"
"54","111,22",2012,NA,NA,NA,"Aidia densiflora","2",0,NA,NA,NA,"22"
"55","111,22",2012,NA,NA,NA,"Aidia densiflora","2",0,NA,NA,NA,"709"
"56","111,22",2012,NA,NA,NA,"Aidia densiflora","2",0,NA,NA,NA,"710"
"57","111,22",2012,NA,NA,NA,"Pennisetum polystachion","39",0,NA,NA,NA,"22"
"58","111,22",2012,NA,NA,NA,"Pennisetum polystachion","39",0,NA,NA,NA,"709"
"59","111,22",2012,NA,NA,NA,"Pennisetum polystachion","39",0,NA,NA,NA,"710"
"60","111,22",2012,NA,NA,NA,"Axonopus compressus","100",0,NA,NA,NA,"22"
"61","111,22",2012,NA,NA,NA,"Axonopus compressus","100",0,NA,NA,NA,"709"
"62","111,22",2012,NA,NA,NA,"Axonopus compressus","100",0,NA,NA,NA,"710"
"63","111,22",2012,NA,NA,NA,"Bridelia monica","1",0,NA,NA,NA,"22"
"64","111,22",2012,NA,NA,NA,"Bridelia monica","1",0,NA,NA,NA,"709"
"65","111,22",2012,NA,NA,NA,"Bridelia monica","1",0,NA,NA,NA,"710"
"66","111,22",2012,NA,NA,NA,"Borreria repens","40",0,NA,NA,NA,"22"
"67","111,22",2012,NA,NA,NA,"Borreria repens","40",0,NA,NA,NA,"709"
"68","111,22",2012,NA,NA,NA,"Borreria repens","40",0,NA,NA,NA,"710"
"69","111,22",2012,NA,NA,NA,"Hevea brasiliensis","16",0,NA,NA,NA,"22"
"70","111,22",2012,NA,NA,NA,"Hevea brasiliensis","16",0,NA,NA,NA,"709"
"71","111,22",2012,NA,NA,NA,"Hevea brasiliensis","16",0,NA,NA,NA,"710"
"72","111,22",2012,NA,NA,NA,"Syzygium spec.","2",0,NA,NA,NA,"22"
"73","111,22",2012,NA,NA,NA,"Syzygium spec.","2",0,NA,NA,NA,"709"
"74","111,22",2012,NA,NA,NA,"Syzygium spec.","2",0,NA,NA,NA,"710"
"75","111,22",2012,NA,NA,NA,"Nephrolepis exaltata","7",0,NA,NA,NA,"22"
"76","111,22",2012,NA,NA,NA,"Nephrolepis exaltata","7",0,NA,NA,NA,"709"
"77","111,22",2012,NA,NA,NA,"Nephrolepis exaltata","7",0,NA,NA,NA,"710"
"78","111,22",2012,NA,NA,NA,"Cleome rutidosperma","2",0,NA,NA,NA,"22"
"79","111,22",2012,NA,NA,NA,"Cleome rutidosperma","2",0,NA,NA,NA,"709"
"80","111,22",2012,NA,NA,NA,"Cleome rutidosperma","2",0,NA,NA,NA,"710"
"81","111,22",2012,NA,NA,NA,"Asystasia gangetica","22",1,NA,NA,NA,"22"
"82","111,22",2012,NA,NA,NA,"Asystasia gangetica","22",1,NA,NA,NA,"709"
"83","111,22",2012,NA,NA,NA,"Asystasia gangetica","22",1,NA,NA,NA,"710"
"84","111,22",2012,NA,NA,NA,"Macaranga gigantea","4",0,NA,NA,NA,"22"
"85","111,22",2012,NA,NA,NA,"Macaranga gigantea","4",0,NA,NA,NA,"709"
"86","111,22",2012,NA,NA,NA,"Macaranga gigantea","4",0,NA,NA,NA,"710"
"87","112,01",2012,NA,NA,NA,"local name: Liba","2",0,NA,NA,NA,"25"
"88","112,01",2012,NA,NA,NA,"Borreria latifolia","17",0,NA,NA,NA,"25"
"89","112,01",2012,NA,NA,NA,"Melastoma malabathricum","218",0,NA,NA,NA,"25"
"90","112,01",2012,NA,NA,NA,"Macaranga tanarius","2",0,NA,NA,NA,"25"
"91","112,01",2012,NA,NA,NA,"Scleria spec. ","11",0,NA,NA,NA,"25"
"92","112,01",2012,NA,NA,NA,"Selaginella spec.","10",0,NA,NA,NA,"25"
"93","112,01",2012,NA,NA,NA,"Hevea brasiliensis","2",0,NA,NA,NA,"25"
"94","112,01",2012,NA,NA,NA,"Dicranopteris linearis","64",1,NA,NA,NA,"25"
"95","112,01",2012,NA,NA,NA,"Aporosa octandra","2",0,NA,NA,NA,"25"
"96","112,01",2012,NA,NA,NA,"local name: Ligodiuman","66",0,NA,NA,NA,"25"
"97","112,01",2012,NA,NA,NA,"Clidemia hirta","326",1,NA,NA,NA,"25"
"98","112,01",2012,NA,NA,NA,"Nephrolepis exaltata","8",0,NA,NA,NA,"25"
"99","112,01",2012,NA,NA,NA,"Acanthaceae spec. ","2",0,NA,NA,NA,"25"
"100","112,05",2012,NA,NA,NA,"Lygodium microphyllum","7",0,NA,NA,NA,"29"
"101","112,05",2012,NA,NA,NA,"Dicranopteris linearis","162",1,NA,NA,NA,"29"
"102","112,05",2012,NA,NA,NA,"Macaranga triloba","4",0,NA,NA,NA,"29"
"103","112,05",2012,NA,NA,NA,"Breynia spec.","4",0,NA,NA,NA,"29"
"104","112,05",2012,NA,NA,NA,"Clidemia hirta","36",1,NA,NA,NA,"29"
"105","112,05",2012,NA,NA,NA,"Lygodium spec.","12",0,NA,NA,NA,"29"
"106","112,05",2012,NA,NA,NA,"Hevea brasiliensis","2",0,NA,NA,NA,"29"
"107","112,05",2012,NA,NA,NA,"Axonopus compressus","92",0,NA,NA,NA,"29"
"108","112,05",2012,NA,NA,NA,"Melastoma malabathricum","26",0,NA,NA,NA,"29"
"109","112,05",2012,NA,NA,NA,"Imperata cylindrica","18",0,NA,NA,NA,"29"
"110","112,05",2012,NA,NA,NA,"Centotheca lappacea","41",0,NA,NA,NA,"29"
"111","112,05",2012,NA,NA,NA,"Clibadium surinamense","2",0,NA,NA,NA,"29"
"112","112,13",2012,NA,NA,NA,"Unident 2","1",0,NA,NA,NA,"37"
"113","112,13",2012,NA,NA,NA,"Melastoma affine","17",0,NA,NA,NA,"37"
"114","112,13",2012,NA,NA,NA,"Unident 1","2",0,NA,NA,NA,"37"
"115","112,13",2012,NA,NA,NA,"Lygodium salicifolium","70",0,NA,NA,NA,"37"
"116","112,13",2012,NA,NA,NA,"Panicum repens","107",0,NA,NA,NA,"37"
"117","112,13",2012,NA,NA,NA,"Adiantum spec.","64",0,NA,NA,NA,"37"
"118","112,13",2012,NA,NA,NA,"Echinochloa colonum","55",0,NA,NA,NA,"37"
"119","112,13",2012,NA,NA,NA,"Amomum spec.","1",0,NA,NA,NA,"37"
"120","112,13",2012,NA,NA,NA,"Clidemia hirta","46",1,NA,NA,NA,"37"
"121","112,15",2012,NA,NA,NA,"Amomum spec.","1",0,NA,NA,NA,"39"
"122","112,15",2012,NA,NA,NA,"Adiantum spec.","49",0,NA,NA,NA,"39"
"123","112,15",2012,NA,NA,NA,"Macaranga gigantea","4",0,NA,NA,NA,"39"
"124","112,15",2012,NA,NA,NA,"Panicum repens","76",0,NA,NA,NA,"39"
"125","112,15",2012,NA,NA,NA,"Asystasia gangetica","17",1,NA,NA,NA,"39"
"126","112,15",2012,NA,NA,NA,"Clidemia hirta","148",1,NA,NA,NA,"39"
"127","112,15",2012,NA,NA,NA,"Lygodium salicifolium","88",0,NA,NA,NA,"39"
