"","hid","SpeciesName","Abundance","regency","village","pid","crop","wave"
"1",3,"scleria ciliaris","30.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"2",3,"Vittaria elongata","27.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"3",3,"clidemia hirta","9.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"4",3,"Cyrtococcum patens","95.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"5",3,"Centotheca lappacea","87.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"6",3,"mirip waru","23.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"7",3,"melastoma malabathricum","14.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"8",3,"Asystasia gangetica","43.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"9",12,"Leptaspis urceolata","23","Sarolangun","Pematang Kolim",1,"Rubber",2018
"10",12,"Dicranopteris linearis","12","Sarolangun","Pematang Kolim",1,"Rubber",2018
"11",12,"Sauropus androgynus","6","Sarolangun","Pematang Kolim",1,"Rubber",2018
"12",12,"Uncaria Cordata","4","Sarolangun","Pematang Kolim",1,"Rubber",2018
"13",12,"Lindsaea ensifolia","12","Sarolangun","Pematang Kolim",1,"Rubber",2018
"14",12,"Asystasia gangetica","12","Sarolangun","Pematang Kolim",1,"Rubber",2018
"15",12,"Clidemia hirta","76","Sarolangun","Pematang Kolim",1,"Rubber",2018
"16",12,"Hevea Brasiliensis","7","Sarolangun","Pematang Kolim",1,"Rubber",2018
"17",12,"Cyrtococcum patens","232","Sarolangun","Pematang Kolim",1,"Rubber",2018
"18",12,"LN: Pulai","2","Sarolangun","Pematang Kolim",1,"Rubber",2018
"19",12,"Rolandra fruticosa","8","Sarolangun","Pematang Kolim",1,"Rubber",2018
"20",12,"Scleria ciliaris","45","Sarolangun","Pematang Kolim",1,"Rubber",2018
"21",12,"Melastoma malabathricum","6","Sarolangun","Pematang Kolim",1,"Rubber",2018
"22",12,"Rothmannia macrophylla","1","Sarolangun","Pematang Kolim",1,"Rubber",2018
"23",12,"Endospermum diadenum","3","Sarolangun","Pematang Kolim",1,"Rubber",2018
"24",12,"Macaranga bancana","1","Sarolangun","Pematang Kolim",1,"Rubber",2018
"25",12,"Taenitis blechnoides","6","Sarolangun","Pematang Kolim",1,"Rubber",2018
"26",12,"Tetracera indica","1","Sarolangun","Pematang Kolim",1,"Rubber",2018
"27",13,"Asystasia gangetica","11.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"28",13,"Furry leaves","1.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"29",13,"pohon coklat","1.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"30",13,"Lindsaea ensifolia","4.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"31",13,"Clidemia hirta","63.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"32",13,"Imperata cylindrica","2.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"33",13,"Obat kuat","28.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"34",13,"Melastoma malabathricum","2.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"35",13,"Macaranga bancana","1.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"36",13,"Mussaenda frondosa","1.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"37",13,"Taenitis blechnoides","17.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"38",13,"Endospermum diadenum","2.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"39",13,"Centotheca lappacea","3.0","Sarolangun","Pematang Kolim",1,"Rubber",2018
"40",15,"Asystasia gangetica","2","Sarolangun","Pematang Kolim",1,"Rubber",2018
"41",15,"Lindsaea ensifolia","2","Sarolangun","Pematang Kolim",1,"Rubber",2018
"42",15,"MS: Mirip Karet","206","Sarolangun","Pematang Kolim",1,"Rubber",2018
"43",15,"Clidemia hirta","62","Sarolangun","Pematang Kolim",1,"Rubber",2018
"44",15,"Jengkol ","2","Sarolangun","Pematang Kolim",1,"Rubber",2018
"45",15,"Tumbuhan Paku","30","Sarolangun","Pematang Kolim",1,"Rubber",2018
"46",22,"Dicranopteris linearis","3","Sarolangun","Pematang Kolim",3,"Rubber",2018
"47",22,"Scleria ciliaris","33","Sarolangun","Pematang Kolim",3,"Rubber",2018
"48",22,"Lindsaea ensifolia","2","Sarolangun","Pematang Kolim",3,"Rubber",2018
"49",22,"Asystasia gangetica","20","Sarolangun","Pematang Kolim",3,"Rubber",2018
"50",22,"Clidemia hirta","12","Sarolangun","Pematang Kolim",3,"Rubber",2018
"51",22,"Melastoma malabathricum","35","Sarolangun","Pematang Kolim",3,"Rubber",2018
"52",22,"Vittaria ensiformis","7","Sarolangun","Pematang Kolim",3,"Rubber",2018
"53",22,"Centotheca lappacea","120","Sarolangun","Pematang Kolim",3,"Rubber",2018
"54",22,"LN: Cabe-cabean","1","Sarolangun","Pematang Kolim",3,"Rubber",2018
"55",22,"MS: Mirip Karet","57","Sarolangun","Pematang Kolim",3,"Rubber",2018
"56",22,"Daun Hati","55","Sarolangun","Pematang Kolim",3,"Rubber",2018
"57",22,"Paspalum dilatatum","55","Sarolangun","Pematang Kolim",3,"Rubber",2018
"58",24,"Pityrogramna Calomelanos","5.0","Sarolangun","Pematang Kolim",NA,NA,2018
"59",24,"Climbing plant with rubbery leaves","3.0","Sarolangun","Pematang Kolim",NA,NA,2018
"60",24,"Adiantum latifolium","556.0","Sarolangun","Pematang Kolim",NA,NA,2018
"61",24,"Elaeis guineensis","1.0","Sarolangun","Pematang Kolim",NA,NA,2018
"62",24,"climbing plant with hairy leaves and a red fruit that tastes like cucumber","6.0","Sarolangun","Pematang Kolim",NA,NA,2018
"63",24,"looks like Merrenia Umbelata","3.0","Sarolangun","Pematang Kolim",NA,NA,2018
"64",24,"Melastoma malabathricum","5.0","Sarolangun","Pematang Kolim",NA,NA,2018
"65",24,"Colocasia Esculenta","1.0","Sarolangun","Pematang Kolim",NA,NA,2018
"66",24,"Asplenium Longissimum","1.0","Sarolangun","Pematang Kolim",NA,NA,2018
"67",24,"Clidemia hirta","48.0","Sarolangun","Pematang Kolim",NA,NA,2018
"68",24,"Scleria ciliaris","5.0","Sarolangun","Pematang Kolim",NA,NA,2018
"69",25,"Mirip Sellaginela","54","Sarolangun","Batu Putih",3,"Rubber",2018
"70",25,"Axonopus compressus","73","Sarolangun","Batu Putih",3,"Rubber",2018
"71",25,"LN: Paku rambat keriting","164","Sarolangun","Batu Putih",3,"Rubber",2018
"72",25,"Goniophlebium verrucosum","21","Sarolangun","Batu Putih",3,"Rubber",2018
"73",25,"Lindsaea ensifolia","6","Sarolangun","Batu Putih",3,"Rubber",2018
"74",25,"Dicranopteris linearis","76","Sarolangun","Batu Putih",3,"Rubber",2018
"75",25,"Cyrtococcum patens","81","Sarolangun","Batu Putih",3,"Rubber",2018
"76",25,"Clidemia hirta","231","Sarolangun","Batu Putih",3,"Rubber",2018
"77",25,"Melastoma malabathricum","64","Sarolangun","Batu Putih",3,"Rubber",2018
"78",29,"Dicranopteris linearis","328","Sarolangun","Batu Putih",1,"Rubber",2018
"79",29,"Clidemia hirta","29","Sarolangun","Batu Putih",1,"Rubber",2018
"80",29,"Lindsaea ensifolia","83","Sarolangun","Batu Putih",1,"Rubber",2018
"81",29,"MS: Paku rambat keriting","72","Sarolangun","Batu Putih",1,"Rubber",2018
"82",29,"Mirip Pulai Pipit","4","Sarolangun","Batu Putih",1,"Rubber",2018
"83",29,"Kayu Tutup","2","Sarolangun","Batu Putih",1,"Rubber",2018
"84",29,"Melastoma malabathricum","12","Sarolangun","Batu Putih",1,"Rubber",2018
"85",29,"Calopogonium Mucunoides","13","Sarolangun","Batu Putih",1,"Rubber",2018
"86",29,"Mussaenda frondosa","12","Sarolangun","Batu Putih",1,"Rubber",2018
"87",29,"Endospermum diadenum","4","Sarolangun","Batu Putih",1,"Rubber",2018
