wave;hid;HHCode;pid;MatchingIssue;DataMissing;SpeciesName;Abundance;Invasive
2015;687;541,16;NA;NA;NA;Scleria sumatrensis;40;0
2015;687;541,16;NA;NA;NA;Clidemia hirta;65;1
2015;687;541,16;NA;NA;NA;Ottochlosa nodosa;465;0
2015;687;541,16;NA;NA;NA;MS: Rumput Coklat;24;0
2015;687;541,16;NA;NA;NA;Phylanthus urinaria;3;0
2015;687;541,16;NA;NA;NA;Batang Salung ;22;0
2015;687;541,16;NA;NA;NA;Ubi racun/arang;4;0
2015;687;541,16;NA;NA;NA;Hevea brasiliensis;7;0
2015;687;541,16;NA;NA;NA;Stenochlaena palustris;7;0
2015;687;541,16;NA;NA;NA;Unident_1 ;3;0
2015;687;541,16;NA;NA;NA;Unident_2;1;0
2015;687;541,16;NA;NA;NA;Unident_3;1;0
2015;687;541,16;NA;NA;NA;Unident_4;1;0
2015;687;541,16;NA;NA;NA;Unident_5;1;0
2015;687;541,16;NA;NA;NA;Lindsaea ensifolia;1;0
2015;687;541,16;NA;NA;NA;Unident_6;12;0
2015;681;541,1;NA;NA;NA;Scleria sumatrensis;58;0
2015;681;541,1;NA;NA;NA;Clidemia hirta;249;1
2015;681;541,1;NA;NA;NA;Melastoma malabathricum;31;0
2015;681;541,1;NA;NA;NA;Hevea brasiliensis;8;0
2015;681;541,1;NA;NA;NA;Lindsaea ensifolia;20;0
2015;681;541,1;NA;NA;NA;Unident_7;6;0
2015;681;541,1;NA;NA;NA;Ottochlosa nodosa;73;0
2015;681;541,1;NA;NA;NA;MS: Paku Karat;19;0
2015;681;541,1;NA;NA;NA;Unident_9;28;0
2015;681;541,1;NA;NA;NA;Macaranga bancana;17;0
2015;681;541,1;NA;NA;NA;Unident_10;8;0
2015;681;541,1;NA;NA;NA;Unident_11;3;0
2015;681;541,1;NA;NA;NA;Unident_12;3;0
2015;681;541,1;NA;NA;NA;Unident_13;1;0
2015;681;541,1;NA;NA;NA;Unident_14;1;0
2015;678;541,07;NA;NA;NA;Taenitis blechnoides;10;0
2015;678;541,07;NA;NA;NA;Dicranopteris linearis;150;1
2015;678;541,07;NA;NA;NA;Hevea brasiliensis;3;0
2015;678;541,07;NA;NA;NA;Clidemia hirta;68;1
2015;678;541,07;NA;NA;NA;Stenochlaena palustris;24;0
2015;678;541,07;NA;NA;NA;Melastoma malabathricum;3;0
2015;678;541,07;NA;NA;NA;Scleria sumatrensis;13;0
2015;678;541,07;NA;NA;NA;Macaranga gigantea;1;0
2015;678;541,07;NA;NA;NA;Unident_15;2;0
2015;678;541,07;NA;NA;NA;Unident_16;1;0
2015;678;541,07;NA;NA;NA;Unident_17;3;0
2015;678;541,07;NA;NA;NA;Unident_18;18;0
2015;678;541,07;NA;NA;NA;Unident_19;1;0
2015;678;541,07;NA;NA;NA;Unident_20;4;0
2015;678;541,07;NA;NA;NA;Phylanthus urinaria;1;0
2015;678;541,07;NA;NA;NA;Unident_21;3;0
2015;678;541,07;NA;NA;NA;Unident_22;10;0
2015;676;541,05;NA;NA;NA;Dicranopteris linearis;24;1
2015;676;541,05;NA;NA;NA;Clidemia hirta;11;1
2015;676;541,05;NA;NA;NA;MS: Rumput Coklat;8;0
2015;676;541,05;NA;NA;NA;Scleria sumatrensis;24;0
2015;676;541,05;NA;NA;NA;Ottochlosa nodosa;2;0
2015;676;541,05;NA;NA;NA;Hevea brasiliensis;11;0
2015;676;541,05;NA;NA;NA;MS: Teki;3;0
2015;676;541,05;NA;NA;NA;MS: Aktonia;1;0
2015;676;541,05;NA;NA;NA;MS: Kaca Kacang;2;0
2015;676;541,05;NA;NA;NA;Imperata cylindrica;4;0
2015;676;541,05;NA;NA;NA;Batang Salung ;1;0
2015;676;541,05;NA;NA;NA;Unident_23;1;0
2015;676;541,05;NA;NA;NA;Unident_24;1;0
2015;676;541,05;NA;NA;NA;Melastoma malabathricum;2;0
2015;676;541,05;NA;NA;NA;Macaranga gigantica;1;0
2015;676;541,05;NA;NA;NA;LN: Batang Merah;1;0
2015;676;541,05;NA;NA;NA;MS: Mirip Karet;1;0
2015;675;541,04;NA;NA;NA;Panicum repens;2;0
2015;675;541,04;NA;NA;NA;Clidemia hirta;212;1
2015;675;541,04;NA;NA;NA;Imperata cylindrica;37;0
2015;675;541,04;NA;NA;NA;MS: Rumput Coklat;46;0
2015;675;541,04;NA;NA;NA;Scleria sumatrensis;11;0
2015;675;541,04;NA;NA;NA;Melastoma malabathricum;31;0
2015;675;541,04;NA;NA;NA;Dicranopteris linearis;3;1
2015;675;541,04;NA;NA;NA;Hevea brasiliensis;4;0
2015;675;541,04;NA;NA;NA;Macaranga bancana;7;0
2015;675;541,04;NA;NA;NA;Alstonia scholaris;1;0
2015;675;541,04;NA;NA;NA;Ottochlosa nodosa;62;0
2015;675;541,04;NA;NA;NA;Lygodium circinatum;1;0
2015;675;541,04;NA;NA;NA;Unident_25;11;0
2015;675;541,04;NA;NA;NA;Lindsaea ensifolia;4;0
2015;675;541,04;NA;NA;NA;Unident_26;1;0
2015;675;541,04;NA;NA;NA;Unident_27;3;0
2015;675;541,04;NA;NA;NA;Imperata silindrica;7;0
2015;672;541,01;NA;NA;NA;Imperata cylindrica;58;0
2015;672;541,01;NA;NA;NA;Scleria sumatrensis;29;0
2015;672;541,01;NA;NA;NA;Clidemia hirta;47;1
2015;672;541,01;NA;NA;NA;Ottochlosa nodosa;50;0
2015;672;541,01;NA;NA;NA;Borreria latifolia;2;0
2015;672;541,01;NA;NA;NA;Stenochlaena palustris;3;0
2015;672;541,01;NA;NA;NA;Paspalum conjugatum;17;0
2015;672;541,01;NA;NA;NA;Hevea brasiliensis;3;0
2015;672;541,01;NA;NA;NA;Lygodium microphyllum;30;0
2015;672;541,01;NA;NA;NA;Unident_28;33;0
2015;672;541,01;NA;NA;NA;Melastoma malabathricum;3;0
2015;672;541,01;NA;NA;NA;MS: Rumput Coklat;5;0
2015;672;541,01;NA;NA;NA;Macaranga gigantea;1;0
2015;672;541,01;NA;NA;NA;Lantana camara;1;0
2015;672;541,01;NA;NA;NA;Phylanthus urinaria;1;0
2015;672;541,01;NA;NA;NA;Unident_29;1;0
2015;672;541,01;NA;NA;NA;Unident_30;1;0
2015;672;541,01;NA;NA;NA;Unident_31;23;0
2015;672;541,01;NA;NA;NA;Unident_32;14;0
2015;672;541,01;NA;NA;NA;Alstonia scholaris;1;0
2015;670;532,17;NA;NA;NA;Clidemia hirta;117;1
2015;670;532,17;NA;NA;NA;Paspalum conjugatum;156;0
2015;670;532,17;NA;NA;NA;Melastoma malabathricum;120;0
2015;670;532,17;NA;NA;NA;Dicranopteris linearis;21;1
2015;670;532,17;NA;NA;NA;Lycopodiella cernua;4;0
2015;670;532,17;NA;NA;NA;Taenitis blechnoides;28;0
2015;670;532,17;NA;NA;NA;Scleria ciliaris;5;0
2015;670;532,17;NA;NA;NA;Ottochlosa nodosa;239;0
2015;670;532,17;NA;NA;NA;Oxalis barrelieri;1;0
2015;670;532,17;NA;NA;NA;Unident_33;3;0
2015;670;532,17;NA;NA;NA;Lygodium microphyllum;7;0
2015;670;532,17;NA;NA;NA;Unident_34;2;0
2015;670;532,17;NA;NA;NA;Macaranga recurvata;3;0
2015;670;532,17;NA;NA;NA;Unident_35;1;0
2015;670;532,17;NA;NA;NA;Unident_36;1;0
2015;670;532,17;NA;NA;NA;Unident_37;7;0
2015;670;532,17;NA;NA;NA;Lygodium circinatum;1;0
2015;670;532,17;NA;NA;NA;Unident_38;1;0
2015;670;532,17;NA;NA;NA;Hevea brasiliensis;2;0
2015;670;532,17;NA;NA;NA;MS: Paku merambat;2;0
2015;667;532,14;NA;NA;NA;Clidemia hirta;7;1
2015;667;532,14;NA;NA;NA;Dicranopteris linearis;5;1
2015;667;532,14;NA;NA;NA;Lindsaea ensifolia;4;0
2015;667;532,14;NA;NA;NA;Melastoma malabathricum;3;0
2015;667;532,14;NA;NA;NA;Macaranga gangetica;6;0
2015;667;532,14;NA;NA;NA;Stenochlaena palustris;17;0
2015;667;532,14;NA;NA;NA;LN: Kemiri hutan;2;0
2015;667;532,14;NA;NA;NA;MS: Rumput Coklat;2;0
2015;667;532,14;NA;NA;NA;MS: Bunga plasitk;75;0
2015;667;532,14;NA;NA;NA;Scleria sumatrensis;81;0
2015;667;532,14;NA;NA;NA;Hevea brasiliensis;4;0
2015;667;532,14;NA;NA;NA;Phylanthus urinaria;7;0
2015;667;532,14;NA;NA;NA;MS: Kaca Kacang;1;0
