"","HHCode","wave","pid.x","MatchingIssue","DataMissing","SpeciesName","Abundance","Invasive","additional","pid.y","cid","CoordinateS","CoordinateE","hid"
"1","111,03",2012,NA,NA,NA,"Chromolaena odorata",43,0,NA,"1","2",2.434372,102.786,3
"2","111,03",2012,NA,NA,NA,"Clidemia hirta",26,1,NA,"1","2",2.434372,102.786,3
"3","111,03",2012,NA,NA,NA,"Melastoma malabathricum",17,0,NA,"1","2",2.434372,102.786,3
"4","111,03",2012,NA,NA,NA,"Mikania micrantha",9,0,NA,"1","2",2.434372,102.786,3
"5","111,03",2012,NA,NA,NA,"Asystasia gangetica",16,1,NA,"1","2",2.434372,102.786,3
"6","111,03",2012,NA,NA,NA,"Calopogonium mucunoides",2,0,NA,"1","2",2.434372,102.786,3
"7","111,03",2012,NA,NA,NA,"Macaranga gigantea",4,0,NA,"1","2",2.434372,102.786,3
"8","111,03",2012,NA,NA,NA,"Erigeron sumatrensis",2,0,NA,"1","2",2.434372,102.786,3
"9","111,03",2012,NA,NA,NA,"Clibadium surinamense",1,0,NA,"1","2",2.434372,102.786,3
"10","111,03",2012,NA,NA,NA,"Bridelia insulana",1,0,NA,"1","2",2.434372,102.786,3
"11","111,03",2012,NA,NA,NA,"local name: Tehan",1,0,NA,"1","2",2.434372,102.786,3
"12","111,03",2012,NA,NA,NA,"Paspalum conjugatum",21,0,NA,"1","2",2.434372,102.786,3
"13","111,03",2012,NA,NA,NA,"Axonopus compressus",408,0,NA,"1","2",2.434372,102.786,3
"14","111,03",2012,NA,NA,NA,"Setaria spec.",13,0,NA,"1","2",2.434372,102.786,3
"15","111,03",2012,NA,NA,NA,"Unident 13",6,0,NA,"1","2",2.434372,102.786,3
"16","111,03",2012,NA,NA,NA,"local name: Liba",9,0,NA,"1","2",2.434372,102.786,3
"17","111,03",2012,NA,NA,NA,"Unident 14",6,0,NA,"1","2",2.434372,102.786,3
"18","111,06",2012,NA,NA,NA,"Axonopus compressus",582,0,NA,"1","2",2.437889,102.7788,6
"19","111,06",2012,NA,NA,NA,"local name: Liba",6,0,NA,"1","2",2.437889,102.7788,6
"20","111,06",2012,NA,NA,NA,"Hevea brasiliensis",1,0,NA,"1","2",2.437889,102.7788,6
"21","111,06",2012,NA,NA,NA,"Centotheca lappacea",23,0,NA,"1","2",2.437889,102.7788,6
"22","111,06",2012,NA,NA,NA,"Oxalis barrelieri",1,0,NA,"1","2",2.437889,102.7788,6
"23","111,06",2012,NA,NA,NA,"Cyrtandra spec.",1,0,NA,"1","2",2.437889,102.7788,6
"24","111,06",2012,NA,NA,NA,"Unident 20",1,0,NA,"1","2",2.437889,102.7788,6
"25","111,07",2012,NA,NA,NA,"Hevea brasiliensis",177,0,NA,"2","2",2.464669,102.7738,7
"26","111,07",2012,NA,NA,NA,"Clidemia hirta",253,1,NA,"2","2",2.464669,102.7738,7
"27","111,07",2012,NA,NA,NA,"Macaranga triloba",2,0,NA,"2","2",2.464669,102.7738,7
"28","111,07",2012,NA,NA,NA,"Melastoma malabathricum",18,0,NA,"2","2",2.464669,102.7738,7
"29","111,07",2012,NA,NA,NA,"Lygodium flexuosum",6,0,NA,"2","2",2.464669,102.7738,7
"30","111,07",2012,NA,NA,NA,"local name: Piper betle",19,0,NA,"2","2",2.464669,102.7738,7
"31","111,07",2012,NA,NA,NA,"Nephrolepis exaltata",8,0,NA,"2","2",2.464669,102.7738,7
"32","111,07",2012,NA,NA,NA,"Euphobia spec.",1,0,NA,"2","2",2.464669,102.7738,7
"33","111,07",2012,NA,NA,NA,"Psychotria spec.",1,0,NA,"2","2",2.464669,102.7738,7
"34","111,07",2012,NA,NA,NA,"Nephrolepis acutifolia",18,0,NA,"2","2",2.464669,102.7738,7
"35","111,12",2012,NA,NA,NA,"Clidemia hirta",170,1,NA,"1","2",2.429803,102.7799,12
"36","111,12",2012,NA,NA,NA,"Hevea brasiliensis",21,0,NA,"1","2",2.429803,102.7799,12
"37","111,12",2012,NA,NA,NA,"Melastoma malabathricum",20,0,NA,"1","2",2.429803,102.7799,12
"38","111,12",2012,NA,NA,NA,"Centotheca lappacea",135,0,NA,"1","2",2.429803,102.7799,12
