"","hid","SpeciesName","Abundance","wave","additional"
"1",3,"scleria ciliaris","30.0",2018,0
"2",3,"Vittaria elongata","27.0",2018,0
"3",3,"clidemia hirta","9.0",2018,0
"4",3,"Cyrtococcum patens","95.0",2018,0
"5",3,"Centotheca lappacea","87.0",2018,0
"6",3,"mirip waru","23.0",2018,0
"7",3,"melastoma malabathricum","14.0",2018,0
"8",3,"Asystasia gangetica","43.0",2018,0
"9",12,"Leptaspis urceolata","23",2018,0
"10",12,"Dicranopteris linearis","12",2018,0
"11",12,"Sauropus androgynus","6",2018,0
"12",12,"Uncaria Cordata","4",2018,0
"13",12,"Lindsaea ensifolia","12",2018,0
"14",12,"Asystasia gangetica","12",2018,0
"15",12,"Clidemia hirta","76",2018,0
"16",12,"Hevea Brasiliensis","7",2018,0
"17",12,"Cyrtococcum patens","232",2018,0
"18",12,"LN: Pulai","2",2018,0
"19",12,"Rolandra fruticosa","8",2018,0
"20",12,"Scleria ciliaris","45",2018,0
"21",12,"Melastoma malabathricum","6",2018,0
"22",12,"Rothmannia macrophylla","1",2018,0
"23",12,"Endospermum diadenum","3",2018,0
"24",12,"Macaranga bancana","1",2018,0
"25",12,"Taenitis blechnoides","6",2018,0
"26",12,"Tetracera indica","1",2018,0
"27",13,"Asystasia gangetica","11.0",2018,0
"28",13,"Furry leaves","1.0",2018,0
"29",13,"pohon coklat","1.0",2018,0
"30",13,"Lindsaea ensifolia","4.0",2018,0
"31",13,"Clidemia hirta","63.0",2018,0
"32",13,"Imperata cylindrica","2.0",2018,0
"33",13,"Obat kuat","28.0",2018,0
"34",13,"Melastoma malabathricum","2.0",2018,0
"35",13,"Macaranga bancana","1.0",2018,0
"36",13,"Mussaenda frondosa","1.0",2018,0
"37",13,"Taenitis blechnoides","17.0",2018,0
"38",13,"Endospermum diadenum","2.0",2018,0
"39",13,"Centotheca lappacea","3.0",2018,0
"40",15,"Asystasia gangetica","2",2018,0
"41",15,"Lindsaea ensifolia","2",2018,0
"42",15,"MS: Mirip Karet","206",2018,0
"43",15,"Clidemia hirta","62",2018,0
"44",15,"Jengkol ","2",2018,0
"45",15,"Tumbuhan Paku","30",2018,0
"46",22,"Dicranopteris linearis","3",2018,0
"47",22,"Scleria ciliaris","33",2018,0
"48",22,"Lindsaea ensifolia","2",2018,0
"49",22,"Asystasia gangetica","20",2018,0
"50",22,"Clidemia hirta","12",2018,0
"51",22,"Melastoma malabathricum","35",2018,0
"52",22,"Vittaria ensiformis","7",2018,0
"53",22,"Centotheca lappacea","120",2018,0
"54",22,"LN: Cabe-cabean","1",2018,0
"55",22,"MS: Mirip Karet","57",2018,0
"56",22,"Daun Hati","55",2018,0
"57",22,"Paspalum dilatatum","55",2018,0
"58",24,"Pityrogramna Calomelanos","5.0",2018,0
"59",24,"Climbing plant with rubbery leaves","3.0",2018,0
"60",24,"Adiantum latifolium","556.0",2018,0
"61",24,"Elaeis guineensis","1.0",2018,0
"62",24,"climbing plant with hairy leaves and a red fruit that tastes like cucumber","6.0",2018,0
"63",24,"looks like Merrenia Umbelata","3.0",2018,0
"64",24,"Melastoma malabathricum","5.0",2018,0
"65",24,"Colocasia Esculenta","1.0",2018,0
"66",24,"Asplenium Longissimum","1.0",2018,0
"67",24,"Clidemia hirta","48.0",2018,0
"68",24,"Scleria ciliaris","5.0",2018,0
"69",25,"Mirip Sellaginela","54",2018,0
"70",25,"Axonopus compressus","73",2018,0
"71",25,"LN: Paku rambat keriting","164",2018,0
"72",25,"Goniophlebium verrucosum","21",2018,0
"73",25,"Lindsaea ensifolia","6",2018,0
"74",25,"Dicranopteris linearis","76",2018,0
"75",25,"Cyrtococcum patens","81",2018,0
"76",25,"Clidemia hirta","231",2018,0
"77",25,"Melastoma malabathricum","64",2018,0
"78",29,"Dicranopteris linearis","328",2018,0
"79",29,"Clidemia hirta","29",2018,0
"80",29,"Lindsaea ensifolia","83",2018,0
"81",29,"MS: Paku rambat keriting","72",2018,0
"82",29,"Mirip Pulai Pipit","4",2018,0
"83",29,"Kayu Tutup","2",2018,0
"84",29,"Melastoma malabathricum","12",2018,0
"85",29,"Calopogonium Mucunoides","13",2018,0
"86",29,"Mussaenda frondosa","12",2018,0
"87",29,"Endospermum diadenum","4",2018,0
"88",29,"Uncaria Cordata","6",2018,0
"89",29,"Sauropus androgynus","3",2018,0
"90",29,"Scleria ciliaris","35",2018,0
"91",34,"Ageratum conyzoides","2",2018,0
"92",34,"Axonopus compressus","35",2018,0
"93",34,"LN: Lengkuas","1",2018,0
"94",34,"Asystasia gangetica","82",2018,0
"95",34,"Leptaspis urceolata","44",2018,0
"96",34,"Daun Belakang Merah","4",2018,0
"97",34,"Mirip Ensospermum","2",2018,0
"98",34,"Melastoma malabathricum","18",2018,0
"99",34,"Mirip Daun Salam","1",2018,0
"100",34,"Clidemia hirta","35",2018,0
"101",34,"Peperomia Pellucida","20",2018,0
"102",34,"Paspalum dilatatum","51",2018,0
"103",34,"Dicranopteris linearis","4",2018,0
"104",37,"Dicranopteris linearis","5",2018,0
"105",37,"Croton hirtus","1",2018,0
"106",37,"Buah berbulu","2",2018,0
"107",37,"Clidemia hirta","341",2018,0
"108",37,"Melastoma malabathricum","121",2018,0
"109",37,"Lindsaea ensifolia","7",2018,0
"110",37,"Cyrtococcum patens","2320",2018,0
"111",37,"Lygodium salicifolium","6",2018,0
"112",37,"endospermum","1",2018,0
"113",37,"Daun Bergerigi","2",2018,0
"114",37,"helminthostachys","5",2018,0
"115",37,"leptaspis","821",2018,0
"116",37,"Mirip Daun Jati","1",2018,0
"117",37,"Daun Hati","25",2018,0
"118",39,"Asystasia gangetica","116",2018,0
"119",39,"Clidemia hirta","130",2018,0
"120",39,"leptaspis","342",2018,0
"121",39,"Lindsaea ensifolia","11",2018,0
"122",39,"Ageratum conyzoides","56",2018,0
"123",39,"Mangifera indica","15",2018,0
"124",39,"Davallia denticulata","11",2018,0
"125",39,"Phylanthus urinaria","5",2018,0
"126",39,"LN: Laos- Laosan","1",2018,0
"127",39,"Polygala paniculata","12",2018,0
"128",39,"Mimosa pudica","2",2018,0
"129",39,"Scleria ciliaris","52",2018,0
"130",39,"Stachytarpheta indica","120",2018,0
"131",39,"similar to daun katu","23",2018,0
"132",39,"Polygala paniculata","21",2018,0
"133",39,"Daun Jarak","17",2018,0
"134",39,"Cyrtococcum patens","560",2018,0
"135",40,"Cyrtococcum patens","12",2018,0
"136",40,"Melastoma malabathricum","2",2018,0
"137",40,"Leptaspis urceolata","20",2018,0
"138",40,"Asystasia gangetica","81",2018,0
"139",40,"Clidemia hirta","26",2018,0
"140",44,"Centotheca lappacea","1052",2018,0
"141",44,"daun berbulu","2",2018,0
"142",44,"Melastoma malabathricum","60",2018,0
"143",44,"Leptaspis urceolata","81",2018,0
"144",44,"Cyrtococcum patens","1242",2018,0
"145",44,"Asystasia gangetica","352",2018,0
"146",44,"Clidemia hirta","130",2018,0
"147",44,"Lindsaea ensifolia","5",2018,0
"148",46,"Phylanthus urinaria","3",2018,0
"149",46,"Rhynchospora Colorata","23",2018,0
"150",46,"Asystasia gangetica","69",2018,0
"151",46,"Rolandra fruticosa","5",2018,0
"152",46,"Clidemia hirta","3",2018,0
"153",46,"Jamur Tanah","2",2018,0
"154",46,"Spermaococe cristata","4",2018,0
"155",46,"Mirip Waru","1",2018,0
"156",47,"Imperata cylindrica","43",2018,0
"157",47,"Lindsaea ensifolia","3",2018,0
"158",47,"Blechnum orientale","7",2018,0
"159",47,"Clidemia hirta","35",2018,0
"160",47,"LN: Pulai","2",2018,0
"161",47,"Lygodium salicifolium","4",2018,0
"162",47,"Mimosa pudica","8",2018,0
"163",47,"Ubi Kayu","6",2018,0
"164",47,"Cyrtococcum patens","103",2018,0
"165",47,"Mangifera indica","7",2018,0
"166",47,"Calopogonium Mucunoides","1",2018,0
"167",47,"Jambu bol","1",2018,0
"168",47,"Asystasia gangetica","243",2018,0
"169",47,"Scoparia Dulcis","2",2018,0
"170",54,"Asystasia gangetica","51",2018,0
"171",54,"Ageratum conyzoides","15",2018,0
"172",54,"Melastoma malabathricum","36",2018,0
"173",54,"Scleria ciliaris","12",2018,0
"174",54,"Daun Hati","655",2018,0
"175",54,"Imperata cylindrica","20",2018,0
"176",54,"Centotheca lappacea","230",2018,0
"177",54,"Mimosa pudica","7",2018,0
"178",54,"Polygala paniculata","15",2018,0
"179",54,"Paspalum dilatatum","9",2018,0
"180",56,"Ophioglossum Pendulum","3",2018,0
"181",56,"Sauropus androgynus","6",2018,0
"182",56,"Clidemia hirta","564",2018,0
"183",56,"Leptaspis urceolata","32",2018,0
