,wave,hid,HHCode,pid,MatchingIssue,DataMissing,SpeciesName,Abundance,Invasive,regency,village,crop
3600,2012,,"341,04",NA,NA,NA,Asystasia gangetica,84,1,NA,NA,NA
3601,2012,,"341,04",NA,NA,NA,Panicum repens,98,0,NA,NA,NA
3602,2012,,"341,04",NA,NA,NA,Flemingia strobilifera,2,0,NA,NA,NA
3603,2012,,"341,04",NA,NA,NA,Urena lobata,2,0,NA,NA,NA
3604,2012,,"341,04",NA,NA,NA,Christella parasitica,12,0,NA,NA,NA
3605,2012,,"341,04",NA,NA,NA,local name: Saga,7,0,NA,NA,NA
3606,2012,,"341,04",NA,NA,NA,Pouzolzia spec.,1,0,NA,NA,NA
3607,2012,,"341,04",NA,NA,NA,Centotheca lappacea,9,0,NA,NA,NA
3608,2012,,"341,04",NA,NA,NA,Passiflora foetida,1,0,NA,NA,NA
3609,2012,,"341,04",NA,NA,NA,Selaginella spec.,1,0,NA,NA,NA
3610,2012,,"341,04",NA,NA,NA,Colocasia spec.,1,0,NA,NA,NA
3611,2012,,"341,04",NA,NA,NA,local name: Jengkol,3,0,NA,NA,NA
3612,2012,,"341,04",NA,NA,NA,Tetrastigma lanceolarium,2,0,NA,NA,NA
3613,2012,,"341,04",NA,NA,NA,Ageratum conyzoides,4,1,NA,NA,NA
3614,2012,,"341,04",NA,NA,NA,local name: Gawal-gawal,2,0,NA,NA,NA
3615,2012,,"341,04",NA,NA,NA,local name: Plangas,2,0,NA,NA,NA
3616,2012,,"341,04",NA,NA,NA,Theobroma cacao (Cocoa),3,0,NA,NA,NA
3617,2012,,"341,04",NA,NA,NA,Musa paradisiaca,1,0,NA,NA,NA
3618,2012,,"341,04",NA,NA,NA,Adiantum spec.,12,0,NA,NA,NA
3619,2012,,"341,04",NA,NA,NA,Elaeis guineensis,7,0,NA,NA,NA
3620,2012,,"341,04",NA,NA,NA,Ficus montana,19,0,NA,NA,NA
3621,2012,,"341,04",NA,NA,NA,Synedrella nodiflora,5,0,NA,NA,NA
3622,2012,,"341,04",NA,NA,NA,Quisqualis indica,6,0,NA,NA,NA
3623,2012,,"341,04",NA,NA,NA,Argostema spec.,1,0,NA,NA,NA
3624,2012,,"341,04",NA,NA,NA,Mikania cordata,7,0,NA,NA,NA
3625,2012,,"341,08",NA,NA,NA,Asystasia gangetica,302,1,NA,NA,NA
