"","hhid","species_name","abundance","regency","village","plotID","crop"
"1",12,"Endospermum Diadenum","3","Sarolangun","Pematang Kolim",1,"Rubber"
"2",12,"Sauropus androgynus","6","Sarolangun","Pematang Kolim",1,"Rubber"
"3",12,"Rotmania Macrophya","1","Sarolangun","Pematang Kolim",1,"Rubber"
"4",12,"Macaranga bancana","1","Sarolangun","Pematang Kolim",1,"Rubber"
"5",12,"Melastoma malabathricum","6","Sarolangun","Pematang Kolim",1,"Rubber"
"6",12,"Rolandra fruticosa","8","Sarolangun","Pematang Kolim",1,"Rubber"
"7",12,"Scleria ciliaris","45","Sarolangun","Pematang Kolim",1,"Rubber"
"8",12,"Taenitis blechnoides","6","Sarolangun","Pematang Kolim",1,"Rubber"
"9",12,"Tetracera indica","1","Sarolangun","Pematang Kolim",1,"Rubber"
"10",12,"Leptaspis Urceolata","23","Sarolangun","Pematang Kolim",1,"Rubber"
"11",12,"Cyrtococcum Patens","232","Sarolangun","Pematang Kolim",1,"Rubber"
"12",12,"Asystasia gangetica","12","Sarolangun","Pematang Kolim",1,"Rubber"
"13",12,"Clidemia hirta","76","Sarolangun","Pematang Kolim",1,"Rubber"
"14",12,"Dicranopteris linearis","12","Sarolangun","Pematang Kolim",1,"Rubber"
"15",12,"Uncaria Cordata","4","Sarolangun","Pematang Kolim",1,"Rubber"
"16",12,"Lindsaea ensifolia","12","Sarolangun","Pematang Kolim",1,"Rubber"
"17",12,"LN: Pulai","2","Sarolangun","Pematang Kolim",1,"Rubber"
"18",12,"Hevea brasiliensis","7","Sarolangun","Pematang Kolim",1,"Rubber"
"19",15,"Jengkol ","2","Sarolangun","Pematang Kolim",1,"Rubber"
"20",15,"Lindsaea ensifolia","2","Sarolangun","Pematang Kolim",1,"Rubber"
"21",15,"Tumbuhan Paku","30","Sarolangun","Pematang Kolim",1,"Rubber"
"22",15,"Clidemia hirta","62","Sarolangun","Pematang Kolim",1,"Rubber"
"23",15,"MS: Mirip Karet","206","Sarolangun","Pematang Kolim",1,"Rubber"
"24",15,"Asystasia gangetica","2","Sarolangun","Pematang Kolim",1,"Rubber"
"25",22,"Clidemia hirta","12","Sarolangun","Pematang Kolim",3,"Rubber"
"26",22,"Asystasia gangetica","20","Sarolangun","Pematang Kolim",3,"Rubber"
"27",22,"Melastoma malabathricum","35","Sarolangun","Pematang Kolim",3,"Rubber"
"28",22,"Dicranopteris linearis","3","Sarolangun","Pematang Kolim",3,"Rubber"
"29",22,"Lindsaea ensifolia","2","Sarolangun","Pematang Kolim",3,"Rubber"
"30",22,"LN: Cabe-cabean","1","Sarolangun","Pematang Kolim",3,"Rubber"
"31",22,"Scleria ciliaris","33","Sarolangun","Pematang Kolim",3,"Rubber"
"32",22,"Vittaria ensiformis","7","Sarolangun","Pematang Kolim",3,"Rubber"
"33",22,"centotheca lappacea","120","Sarolangun","Pematang Kolim",3,"Rubber"
"34",22,"Daun Hati","55","Sarolangun","Pematang Kolim",3,"Rubber"
"35",22,"Paspalum dilatatum","55","Sarolangun","Pematang Kolim",3,"Rubber"
"36",22,"MS: Mirip Karet","57","Sarolangun","Pematang Kolim",3,"Rubber"
"37",25,"Clidemia hirta","231","Sarolangun","Batu Putih",3,"Rubber"
"38",25,"Dicranopteris linearis","76","Sarolangun","Batu Putih",3,"Rubber"
"39",25,"Axonopus compressus","73","Sarolangun","Batu Putih",3,"Rubber"
