"","wave","HHCode","pid","MatchingIssue","DataMissing","SpeciesName","Abundance","Invasive","additional"
"1",2012,"341,04",NA,NA,NA,"Asystasia gangetica",84,1,NA
"2",2012,"341,04",NA,NA,NA,"Panicum repens",98,0,NA
"3",2012,"341,04",NA,NA,NA,"Flemingia strobilifera",2,0,NA
"4",2012,"341,04",NA,NA,NA,"Urena lobata",2,0,NA
"5",2012,"341,04",NA,NA,NA,"Christella parasitica",12,0,NA
"6",2012,"341,04",NA,NA,NA,"local name: Saga",7,0,NA
"7",2012,"341,04",NA,NA,NA,"Pouzolzia spec.",1,0,NA
"8",2012,"341,04",NA,NA,NA,"Centotheca lappacea",9,0,NA
"9",2012,"341,04",NA,NA,NA,"Passiflora foetida",1,0,NA
"10",2012,"341,04",NA,NA,NA,"Selaginella spec.",1,0,NA
"11",2012,"341,04",NA,NA,NA,"Colocasia spec.",1,0,NA
"12",2012,"341,04",NA,NA,NA,"local name: Jengkol",3,0,NA
"13",2012,"341,04",NA,NA,NA,"Tetrastigma lanceolarium",2,0,NA
"14",2012,"341,04",NA,NA,NA,"Ageratum conyzoides",4,1,NA
"15",2012,"341,04",NA,NA,NA,"local name: Gawal-gawal",2,0,NA
"16",2012,"341,04",NA,NA,NA,"local name: Plangas",2,0,NA
"17",2012,"341,04",NA,NA,NA,"Theobroma cacao (Cocoa)",3,0,NA
"18",2012,"341,04",NA,NA,NA,"Musa paradisiaca",1,0,NA
"19",2012,"341,04",NA,NA,NA,"Adiantum spec.",12,0,NA
"20",2012,"341,04",NA,NA,NA,"Elaeis guineensis",7,0,NA
"21",2012,"341,04",NA,NA,NA,"Ficus montana",19,0,NA
"22",2012,"341,04",NA,NA,NA,"Synedrella nodiflora",5,0,NA
"23",2012,"341,04",NA,NA,NA,"Quisqualis indica",6,0,NA
"24",2012,"341,04",NA,NA,NA,"Argostema spec.",1,0,NA
"25",2012,"341,04",NA,NA,NA,"Mikania cordata",7,0,NA
"26",2012,"341,08",NA,NA,NA,"Asystasia gangetica",302,1,NA
"27",2012,"341,08",NA,NA,NA,"Mikania micrantha",2,0,NA
"28",2012,"341,08",NA,NA,NA,"local name: Stunygit",3,0,NA
"29",2012,"341,08",NA,NA,NA,"Breynia spec.",21,0,NA
"30",2012,"341,08",NA,NA,NA,"Lygodium circinatum",1,0,NA
"31",2012,"341,08",NA,NA,NA,"Hedyotis diffusa",4,0,NA
"32",2012,"341,08",NA,NA,NA,"Christella parasitica",12,0,NA
"33",2012,"341,08",NA,NA,NA,"local name: Amben bua",4,0,NA
"34",2012,"341,08",NA,NA,NA,"local name: Rumput pegago",2,0,NA
"35",2012,"341,08",NA,NA,NA,"Imperata cylindrica",6,0,NA
"36",2012,"341,08",NA,NA,NA,"Hevea brasiliensis",3,0,NA
"37",2012,"312,02",NA,NA,NA,"Asystasia gangetica",100,1,NA
"38",2012,"312,02",NA,NA,NA,"Ageratum conyzoides",8,1,NA
"39",2012,"312,02",NA,NA,NA,"Elaeis guineensis",1,0,NA
"40",2012,"312,02",NA,NA,NA,"local name: Gawal-gawal",1,0,NA
"41",2012,"312,02",NA,NA,NA,"Lygodium circinatum",13,0,NA
"42",2012,"312,02",NA,NA,NA,"Axonopus compressus",4,0,NA
"43",2012,"312,02",NA,NA,NA,"Nephrolepis spec.",3,0,NA
"44",2012,"312,02",NA,NA,NA,"Christella parasitica",1,0,NA
"45",2012,"312,01",NA,NA,NA,"Asystasia gangetica",87,1,NA
"46",2012,"312,01",NA,NA,NA,"local name: Sembukan",1,0,NA
"47",2012,"312,01",NA,NA,NA,"Axonopus compressus",21,0,NA
"48",2012,"312,01",NA,NA,NA,"Lygodium circinatum",6,0,NA
"49",2012,"312,01",NA,NA,NA,"local name: Kayu pule",2,0,NA
"50",2012,"312,01",NA,NA,NA,"Christella parasitica",9,0,NA
"51",2012,"312,01",NA,NA,NA,"local name: Rumput oto",14,0,NA
"52",2012,"312,01",NA,NA,NA,"Imperata cylindrica",5,0,NA
"53",2012,"312,05",NA,NA,NA,"Clidemia hirta",169,1,NA
"54",2012,"312,05",NA,NA,NA,"Asystasia gangetica",52,1,NA
"55",2012,"312,05",NA,NA,NA,"Imperata cylindrica",17,0,NA
"56",2012,"312,05",NA,NA,NA,"Stachytarpheta indica",4,0,NA
"57",2012,"312,05",NA,NA,NA,"Elaeis guineensis",2,0,NA
"58",2012,"312,05",NA,NA,NA,"Mikania micrantha",5,0,NA
"59",2012,"312,05",NA,NA,NA,"Melastoma malabathricum",5,0,NA
"60",2012,"312,05",NA,NA,NA,"Dicranopteris linearis",77,1,NA
"61",2012,"312,05",NA,NA,NA,"Uncaria gambir",1,0,NA
"62",2012,"312,05",NA,NA,NA,"Alstonia spec. 2",26,0,NA
"63",2012,"312,05",NA,NA,NA,"Croton glandulosus",5,0,NA
"64",2012,"312,05",NA,NA,NA,"Pennisetum polystachion",4,0,NA
"65",2012,"311,01",NA,NA,NA,"Clidemia hirta",97,1,NA
