wave;hid;HHCode
2015;687;541,16
2015;681;541,1
2015;678;541,07
2015;676;541,05
2015;675;541,04
2015;672;541,01
2015;670;532,17
2015;667;532,14
2015;664;532,1
2015;658;532,05
2015;656;532,03
2015;654;532,01
2015;650;531,09
2015;649;531,08
2015;644_2;531,03
2015;644_1;531,03
2015;642;531,01
2015;630;512,17
2015;629;512,16
2015;627;521,14
2015;619;512,05
2015;615;512,01
2015;698;542,09
2015;699;542,1
2015;690;542,01
2015;695;542,06
2015;641;522,06
2015;639;522,04
2015;638;522,03
2015;633;521,02
2015;609;511,07
2015;;511,01
2015;611;511,09
2015;510;421,01
2015;515;412,06
2015;540;422,01
2015;543;422,04
2015;542;422,03
2015;516;421,01
2015;522;421,07
2015;527;421,12
2015;528;421,13
2015;529;421,14
2015;537;421,22
2015;538;421,33
2015;574;432,17
2015;569;432,12
2015;565;432,08
2015;559;432,02
2015;571;432,14
2015;575;432,18
2015;505;411,08
2015;503;411,06
2015;502;411,05
2015;507;411,1
2015;74;122,08
2015;511;412,02
2015;550;431,05
2015;547;431,02
2015;599;442,03
2015;590;441,14
2015;584;441,08
2015;600;442,04
2015;635;521,05
2015;548;431,03
2015;554;431,09
2015;578;441,02
2015;279;223,14
2015;277;223,12
2015;273;223,08
2015;269;223,04
2015;266;223,01
2015;358;242,1
2015;355;242,07
2015;354;242,06
2015;349;242,01
2015;325;241,01
2015;326;241,02
2015;329;241,05
2015;333;241,04
2015;334;241,1
2015;338;241,14
2015;342;241,18
2015;347;241,23
2015;260;222,19
2015;251;222,1
2015;719;222,1
2015;249;222,08
2015;247;222,06
2015;246;222,05
2015;220;212,11
2015;374;252,08
2015;367;252,01
2015;376;252,1
2015;373;252,07
2015;196;211,05
2015;201;211,1
2015;204;211,13
2015;207;211,16
2015;209;211,18
2015;70;122,04
2015;76;122,1
2015;83;122,17
2015;84;122,18
2015;89;122,23
2015;44;121,02
2015;54;121,12
2015;47;121,05
2015;52;121,1
2015;56;121,14
2015;63;121,21
2015;3;111,03
2015;12;111,12
2015;13;111,13
2015;15;111,15
2015;22;111,22
2015;710;111,22
2015;709;111,22
2015;126;133,04
2015;128;133,06
2015;116;132,06
2015;118;132,08
2015;40;112,16
2015;39;112,15
2015;37;112,13
2015;34;112,1
2015;29;112,05
2015;25;112,01
2015;169;143,01
2015;170;143,02
2015;173;143,05
2015;181;143,13
2015;183;143,15
2015;191;143,24
2015;80;122,14
2015;122;132,12
2015;71;122,05
2015;568;431,11
2015;579;441,03
2015;588;441,12
2015;397;321,03
2015;425;331,01
2015;416;322,1
2015;419;322,13
2015;175;143,07
2015;410;322,04
2015;519;421,04
2015;521;421,06
2015;544;422,05
2015;215;221,06
2015;117;132,07
2015;601;441,05
2015;597;442,01
2015;351;242,03
2015;258;222,17
2015;210;212,01
2015;610;511,08
2015;423;322,17
2015;395;321,01
2015;405;312,11
2015;415;322,09
2015;363;251,02
2015;361;251,01
2015;363;251,03
2015;21;111,21
2015;282;223,17
2015;200;211,09
2015;123;133,01
2015;213;211,04
2015;46;121,04
2015;270;223,05
2015;443;331,19
2015;435;331,11
2015;433;331,09
2015;464;332,16
2015;454;332,06
2015;442;331,18
2015;555;431,1
2015;436;331,12
2015;255;222,14
2015;475;342,01
2015;379;311,01
2015;488;342,15
2015;486;342,13
2015;483;342,1
2015;485;342,12
2015;481;342,08
2015;489;342,16
2015;424;322,18
2015;482;342,09
2015;387;312,01
2015;449;332,01
2015;460;332,12
2015;399;321,05
2015;385;311,07
2015;382;311,04
2015;470;341,04
2015;467;341,01
2015;437;331,13
2015;445;331,21
2015;444;331,2
2015;577;441,01
2015;495;342,22
2015;369_2;252,03
2015;369_1;252,03
2015;459;332,11
2015;255_1;222,14
2015;403;321,09
2015;581;441,05
2015;581_1;441,05
2015;60_1;121,18
2015;60;121,18
2015;346_1;241,22
2015;474;341,08
2015;388;312,02
2015;346_2;241,22
2015;197;241,22
2015;632;521,01
2015;254;222,13
2015;248;222,07
2015;508;411,11
2015;463;332,15
2012;;341,04
2012;;341,08
2012;;312,02
2012;;312,01
2012;;312,05
2012;;311,01
2012;;311,07
2012;;311,04
2012;;322,09
2012;;322,04
2012;;322,13
2012;;322,18
2012;;322,17
2012;;332,09
2012;;332,01
2012;;332,07
2012;;332,06
2012;;332,15
2012;;"332;11"
2012;;332,12
2012;;342,10
2012;;342,13
2012;;342,23
2012;;342,12
2012;;342,15
2012;;342,08
2012;;342,09
2012;;342,22
2012;;342,03
2012;;331,12
2012;;331,13
2012;;331,18
2012;;331,19
2012;;331,09
2012;;331,02
2012;;331,01
2012;;331,11
2012;;331,25
2012;;242,06
2012;;242,01
2012;;242,03
2012;;242,07
2012;;242,10
2012;;223,12
2012;;223,01
2012;;223,17
2012;;223,14
2012;;223,08
2012;;223,05
2012;;223,04
2012;;241,08
2012;;241,09
2012;;241,05
2012;;241,06
2012;;241,16
2012;;241,01
2012;;241,07
2012;;241,03
2012;;241,02
2012;;251,01
2012;;252,05
2012;;252,07
2012;;252,03
2012;;252,10
2012;;252,09
2012;;222,08
2012;;222,05
