"","SpeciesName","Abundance","Invasive"
"1","367_Sharp flower plant",5,0
"2","374_GreenLantern",2,0
"3","374_RoughLong",23,0
"4","374_SharpLongLeaves",1,0
"5","488_No Name",2,0
"6","Acanthaceae spec.",2,0
"7","Acmella paniculata",182,0
"8","Acosmium spec.",3,0
"9","Adenia macrophyla",1,0
"10","Adenia macrophylla",2,0
"11","Adiantum latifolium",1939,0
"12","Adiantum spec.",577,0
"13","Adiantum trapeziforme",38,0
"14","Agelaea borneensis",9,0
"15","Agelaea spec.",5,0
"16","Ageratum conyzoides",1839,1
"17","Aglaonema spec.",61,0
"18","Agrostistachys borneensis",87,0
"19","Aidia densiflora",202,0
"20","akar_akaran",3,0
"21","Albizia falcataria",8,0
"22","Alocasia longifolia",2,0
"23","alpinia galanga",3,0
"24","Alstonia scholaris",113,0
"25","Alstonia spec. 1",10,0
"26","Alstonia spec. 2",26,0
"27","Amaranthus spinosus",54,0
"28","Amomum cardamomum",13,0
"29","Amomum lappaceum",4,0
"30","Amomum spec.",141,0
"31","Ampelocissus thyrsiflora",1,0
"32","Amplas kijang",112,0
"33","Ancistrocladus tectorius",5,0
"34","Annonacea spec. Fi0748-Fi0751",3,0
"35","Apocynaceae spec.",503,0
"36","Aporosa aunta",1,0
"37","Aporosa grandistipula",6,0
"38","Aporosa octandra",9,0
"39","Aracea spec. Fi1103-1107",2,0
"40","Arachis spec.",92,0
"41","Arachis triloba ? Macaranga triloba??",3,0
"42","Archidedron pavriflorum",1,0
"43","Archidendron bubalinum",3,0
"44","Archidendron pauciflorum",1,0
"45","Archidendron pauriflorum",4,0
"46","Arcypteris irregularis",33,0
"47","ardocarpus elasdicus",5,0
"48","Arenga sp.1",2,0
"49","Argostema spec.",1,0
"50","Arthocarpus integra",1,0
"51","Artocarpus altilis",6,0
"52","Artocarpus heterophyllus",1,0
"53","Artocarpus integer",11,0
"54","Artocarpus sp",1,0
"55","Artocarpus spec.",1,0
"56","Artocarpus champeden",1,0
"57","Asam Kandis",2,0
"58","Asplenium glaucophyllum",17,0
"59","Asplenium longissimum",144,0
"60","Asplenium longissimum, ?",67,0
"61","Asplenium nidus",286,0
"62","Asystasia gangetica",26558,1
"63","Asystasia spec.",6,1
"64","asytasia berbulu",7,0
"65","Avicennia marina",1,0
"66","Awar awar",1,0
"67","Axonopus compressus",15578,0
"68","Axonopus spec.",68,0
"69","Balek angin",1,0
"70","Basilikum alike",45,0
"71","batang bunga putih",3,0
"72","Batang Daun Berbulu",4,0
"73","Batang Daun Bulu",1,0
"74","batang dua warna",2,0
"75","batang hijau",7,0
"76","Batang Merah",6,0
"77","Batang Salung",23,0
"78","Bauhinia semibifida",212,0
"79","Bauhinia spec.",1,0
"80","Bellucia pentamera",18,0
"81","Blechnum Ensifolia",2,0
"82","Blechnum orientale",347,0
"83","Blumea balsamifera",50,0
"84","Borreria alata",71,0
"85","Borreria latifolia",1816,0
"86","Borreria ocymoides",24,0
"87","Borreria repens",48,0
"88","boy paku",6,0
"89","Breynia cernua",24,0
"90","Breynia oblongifolia",48,0
"91","Breynia spec.",37,0
"92","Breynia stipitata",139,0
"93","Bridelia insulana",1,0
"94","Bridelia monica",13,0
"95","Bromheadia finlaysoniana",7,0
"96","Buah berbulu",2,0
"97","Buah Ungu",18,0
"98","Buettneria sp.1",139,0
"99","bunga berjarak",81,0
"100","Bunga Hitam",2,0
"101","Bunga Merah",129,0
"102","Bunga Putih",5,0
"103","Cabang 6",2,0
"104","Caladium spec. Fi0753-0757",1,0
"105","Calophyllum venulosum",1,0
"106","Calopogonium Glaucophyllum",2,0
"107","Calopogonium mucunoides",154,0
"108","Canarium littorale",2,0
"109","Cardiospermum grandiflorum",4,0
"110","carex rupestris",92,0
"111","Cathula Prostata",4,0
"112","Cayratia geniculata",9,0
"113","Cayratia japonica",17,0
"114","Cayratia novemfolia",1,0
"115","Centhotecha lappaceae",23,0
"116","Centotheca lappacea",14171,0
"117","Centotheca spec.",90,0
"118","Centrosema pubescens",281,0
"119","Cheilocostus speciosus",25,0
"120","Christella parasitica",327,0
"121","Chromolaena odorata",3235,0
"122","Cirtococcum spec.",640,0
"123","Cissus spec.",3,0
"124","Clausena excavata",7,0
"125","cleome berbulu",1,0
"126","Cleome rutidosperma",2718,0
"127","Clerodendrum serratum",12,0
"128","Clerodendrum sp.1",2,0
"129","Clibadium surinamense",55,0
"130","Clidemia hirta",44947,1
"131","climbing plant with hairy leaves and a red fruit that tastes like cucumber",6,0
"132","Climbing plant with rubbery leaves",3,0
"133","climbing rubber",21,0
"134","Cocoa",2,0
"135","Coffea sp.",16,0
"136","Colocasia esculenta",7,0
"137","Colocasia Esculenta",4,0
"138","Colocasia spec.",6,0
"139","Coptosapelta tomentosa",54,0
"140","Cordyline spec.",8,0
"141","Costus spec.",14,0
"142","costus woodsoni",3,0
"143","Crassocephalum crepidioides",168,0
"144","Cratoxylum sumatranum",5,0
"145","Croton glandulosus",7,0
"146","Croton hirtus",175,0
"147","Cuphea carthagenensis",208,0
"148","Cuphea spec.",121,0
"149","Curculigo latifolia",5,0
"150","Cyperus compressus",36,0
"151","Cyperus rotundus",62,0
"152","Cyrtandra spec.",1,0
"153","Cyrtococcum accrescens",1919,0
"154","Cyrtococcum mucrescens",1091,0
"155","Cyrtococcum patens",35267,0
"156","Cyrtococcum spec.",228,0
"157","Dalbergia candenatensis",23,0
"158","Daun Belakang Merah",4,0
"159","daun berbulu",2,0
"160","daun bergerigi",35,0
"161","Daun bergerigi licin",2,0
"162","Daun Bergetah",5,0
"163","Daun berpori",6,0
"164","daun bulu tipis",13,0
"165","Daun Double",19,0
"166","Daun gerigi tumpul",4,0
"167","Daun Hati",1238,0
"168","Daun Hijau",1,0
"169","daun ibu",1,0
"170","Daun Imut",2,0
"171","Daun Jarak",17,0
"172","Daun Jari",1,0
"173","Daun Jati",2,0
"174","daun jelutung",9,0
"175","Daun Katu",4,0
"176","Daun katu hutan",1,0
"177","Daun Katuk",10,0
"178","Daun Kayu Putih",3,0
"179","Daun Kunyit kunyitan",6,0
"180","Daun Lebar",66,0
"181","Daun Lirik",9,0
"182","Daun Menjari",8,0
"183","Daun obat",6,0
"184","daun pandan",15,0
"185","Daun Rambutan",3,0
"186","daun ribu",4,0
"187","Daun Ribu Ribu",1,0
"188","Daun salam",122,0
"189","Daun Salam Hutan",7,0
"190","Daun serat",5,0
"191","Daun Sirih",6,0
"192","Daun sirih hutan",3,0
"193","Daun Sobek",1,0
"194","Daun Talas",1,0
"195","Daun ubi bulu",1,0
"196","Davalia denticulata",34,0
"197","Davalia orientale",5,0
"198","Davalia spec.",10,0
"199","Davallia denticulata",888,0
"200","DB Bulu",7,0
"201","Derris trifoliata",27,0
"202","Desmodium heterocarpum",7,0
"203","Dicranopteris linearis",7489,1
"204","Dillenia eximia",3,0
"205","dillenia philippinansis",3,0
"206","Dioscorea filiformis",2,0
"207","Dioscorea hispida",3,0
"208","Diplazium dietrichianum",8,0
"209","Dipteracantus spec.",11,0
"210","Dracaena elliptica",1,0
"211","Drynaria Quercifolia",39,0
"212","Duku",8,0
"213","Durio zibethinus",9,0
"214","Dyera costulata",31,0
"215","Echinochloa colonum",756,0
"216","Echinochloa crus-galli",146,0
