"","Species"
"1","Adiantum latifolium"
"2","Ageratum conyzoides"
"3","Aidia densiflora"
"4","Alstonia scholaris"
"5","Archidedron pavriflorum"
"6","Archidendron pauriflorum"
"7","Arthocarpus integra"
"8","Artocarpus heterophyllus"
"9","Artocarpus integer"
"10","Artocarpus champeden"
"11","Asplenium nidus"
"12","Asystasia gangetica"
"13","Axonopus compressus"
"14","Batang Salung"
"15","Bauhinia semibifida"
"16","Blechnum orientale"
"17","Borreria latifolia"
"18","Chromolaena odorata"
"19","Clidemia hirta"
"20","Coffea sp."
"21","Croton hirtus"
"22","Cyperus compressus"
"23","Cyperus rotundus"
"24","Dalbergia candenatensis"
"25","Davallia denticulata"
"26","Dicranopteris linearis"
"27","Durio zibethinus"
"28","Elaeis guineensis"
"29","Glochidion rubrum"
"30","Goniophlebium verrucosum"
"31","Hevea brasiliensis"
"32","Hyptis capitata"
"33","Imperata cylindrica"
"34","Imperata silindrica"
"35","Ixora grandifolia"
"36","Jengkol"
"37","Lantana camara"
"38","Legazpia polygonoides"
"39","Lindernia diffusa"
"40","Lindsaea diffusa"
"41","Lindsaea ensifolia"
"42","Lindsaea nitida"
"43","LN: Akar"
"44","LN: Akar Kait-Kait"
"45","LN: Akar terpal"
"46","LN: Alang alang"
"47","LN: Amplas kijung"
"48","LN: Anak laras"
"49","LN: Anting"
"50","LN: Batang Kabau"
"51","LN: Batang leban"
"52","LN: Batang merah"
"53","LN: Batang Merah"
"54","LN: Batang mupur"
"55","LN: Batang Siancing"
"56","LN: Cabe-cabean"
"57","LN: Cempedak"
"58","LN: Cempedak aek"
"59","LN: Dumian hutan"
"60","LN: Jambu biji"
"61","LN: Jambu-Jambu"
"62","LN: Jelatang"
"63","LN: Jengkol"
"64","LN: Jerat Padang"
"65","LN: Jeruk Manis"
"66","LN: Jeruk nipis"
"67","LN: Kaca Kacang"
"68","LN: Kacang hijau"
"69","LN: Kancilan"
"70","LN: Kara Karang"
"71","LN: Kayu medang"
"72","LN: Kayu Mengkubung"
"73","LN: Kayu merah"
"74","LN: Kayu paku"
"75","LN: Kayu paku-paku"
"76","LN: Kayu plangas"
"77","LN: Kayu teri-teri"
"78","LN: Kemenyan"
"79","LN: Kemiri hutan"
"80","LN: Kopi"
"81","LN: Laos- Laosan"
"82","LN: Lengkuas"
"83","LN: Mahoni"
"84","LN: Mata Keli"
"85","LN: Melati hutan"
"86","LN: Memyan"
"87","LN: Merpoi"
"88","LN: Nangka"
"89","LN: Narung"
"90","LN: Pakai sepasang"
"91","LN: Paku ?"
